Iteration #, Length, Temperature, Path (x1,y1,x2,y2,...,x1,y1), iseed: 971747
       0     27.911973      1.000000  .605204,.661788,.671395,.137845,.768050,.618682,.182405,.678834,.168704,.409394,.692282,.184810,.096397,.137256,.862700,.395572,.373633,.643167,.707880,.342729,.238306,.202282,.751906,.289823,.060350,.297260,.054910,.866343,.631026,.649436,.074141,.085282,.334516,.214015,.946609,.655134,.834598,.082029,.660056,.565230,.813732,.397676,.740510,.752443,.311350,.852582,.352602,.189829,.455813,.855739,.401948,.543057,.165958,.247903,.510256,.873439,.888286,.417552,.789899,.840215,.500600,.582262,.069042,.389278,.592574,.397842,.529593,.874004,.380020,.000096,.612999,.675061,.745694,.874889,.262096,.050384,.801313,.660417,.630650,.336468,.011167,.675450,.295903,.242835,.336059,.150446,.545760,.580782,.198789,.051468,.024364,.482472,.908140,.100690,.303800,.967203,.780055,.390292,.635448,.979134,.605204,.661788,
     500     25.400863      1.000000  .336059,.150446,.198789,.051468,.671395,.137845,.510256,.873439,.069042,.389278,.780055,.390292,.635448,.979134,.060350,.297260,.373633,.643167,.660056,.565230,.352602,.189829,.745694,.874889,.168704,.409394,.862700,.395572,.529593,.874004,.262096,.050384,.238306,.202282,.908140,.100690,.380020,.000096,.946609,.655134,.455813,.855739,.311350,.852582,.612999,.675061,.054910,.866343,.768050,.618682,.801313,.660417,.707880,.342729,.401948,.543057,.888286,.417552,.500600,.582262,.334516,.214015,.545760,.580782,.011167,.675450,.813732,.397676,.834598,.082029,.074141,.085282,.295903,.242835,.751906,.289823,.592574,.397842,.182405,.678834,.024364,.482472,.740510,.752443,.692282,.184810,.630650,.336468,.605204,.661788,.789899,.840215,.165958,.247903,.096397,.137256,.303800,.967203,.631026,.649436,.336059,.150446,
    1000     23.115872      0.900000  .336059,.150446,.908140,.100690,.834598,.082029,.011167,.675450,.946609,.655134,.238306,.202282,.455813,.855739,.262096,.050384,.401948,.543057,.813732,.397676,.888286,.417552,.510256,.873439,.069042,.389278,.096397,.137256,.054910,.866343,.635448,.979134,.660056,.565230,.740510,.752443,.024364,.482472,.074141,.085282,.060350,.297260,.380020,.000096,.373633,.643167,.182405,.678834,.295903,.242835,.707880,.342729,.605204,.661788,.768050,.618682,.801313,.660417,.198789,.051468,.671395,.137845,.751906,.289823,.612999,.675061,.545760,.580782,.334516,.214015,.630650,.336468,.311350,.852582,.780055,.390292,.352602,.189829,.789899,.840215,.529593,.874004,.745694,.874889,.631026,.649436,.303800,.967203,.592574,.397842,.165958,.247903,.500600,.582262,.862700,.395572,.692282,.184810,.168704,.409394,.336059,.150446,
    1500     22.841681      0.810000  .707880,.342729,.635448,.979134,.740510,.752443,.011167,.675450,.946609,.655134,.630650,.336468,.336059,.150446,.024364,.482472,.182405,.678834,.745694,.874889,.303800,.967203,.096397,.137256,.545760,.580782,.612999,.675061,.862700,.395572,.373633,.643167,.074141,.085282,.834598,.082029,.352602,.189829,.311350,.852582,.168704,.409394,.529593,.874004,.262096,.050384,.334516,.214015,.165958,.247903,.671395,.137845,.780055,.390292,.380020,.000096,.198789,.051468,.455813,.855739,.510256,.873439,.401948,.543057,.692282,.184810,.660056,.565230,.500600,.582262,.813732,.397676,.054910,.866343,.631026,.649436,.768050,.618682,.592574,.397842,.060350,.297260,.238306,.202282,.295903,.242835,.069042,.389278,.888286,.417552,.801313,.660417,.605204,.661788,.908140,.100690,.751906,.289823,.789899,.840215,.707880,.342729,
    2000     21.810823      0.729000  .888286,.417552,.768050,.618682,.198789,.051468,.096397,.137256,.060350,.297260,.074141,.085282,.262096,.050384,.168704,.409394,.401948,.543057,.751906,.289823,.671395,.137845,.635448,.979134,.660056,.565230,.813732,.397676,.024364,.482472,.630650,.336468,.334516,.214015,.380020,.000096,.740510,.752443,.592574,.397842,.908140,.100690,.529593,.874004,.011167,.675450,.054910,.866343,.238306,.202282,.862700,.395572,.352602,.189829,.311350,.852582,.946609,.655134,.612999,.675061,.545760,.580782,.789899,.840215,.801313,.660417,.455813,.855739,.745694,.874889,.834598,.082029,.373633,.643167,.707880,.342729,.605204,.661788,.631026,.649436,.182405,.678834,.510256,.873439,.500600,.582262,.303800,.967203,.295903,.242835,.165958,.247903,.780055,.390292,.692282,.184810,.069042,.389278,.336059,.150446,.888286,.417552,
    2500     19.725912      0.656100  .373633,.643167,.182405,.678834,.054910,.866343,.545760,.580782,.380020,.000096,.592574,.397842,.024364,.482472,.510256,.873439,.303800,.967203,.946609,.655134,.813732,.397676,.500600,.582262,.074141,.085282,.168704,.409394,.096397,.137256,.401948,.543057,.295903,.242835,.780055,.390292,.908140,.100690,.888286,.417552,.069042,.389278,.529593,.874004,.635448,.979134,.455813,.855739,.612999,.675061,.745694,.874889,.630650,.336468,.671395,.137845,.801313,.660417,.605204,.661788,.660056,.565230,.352602,.189829,.165958,.247903,.336059,.150446,.011167,.675450,.238306,.202282,.060350,.297260,.740510,.752443,.862700,.395572,.311350,.852582,.768050,.618682,.789899,.840215,.707880,.342729,.692282,.184810,.834598,.082029,.751906,.289823,.631026,.649436,.334516,.214015,.198789,.051468,.262096,.050384,.373633,.643167,
    3000     18.908988      0.590490  .024364,.482472,.455813,.855739,.745694,.874889,.510256,.873439,.660056,.565230,.635448,.979134,.592574,.397842,.605204,.661788,.834598,.082029,.946609,.655134,.545760,.580782,.500600,.582262,.631026,.649436,.789899,.840215,.612999,.675061,.401948,.543057,.529593,.874004,.011167,.675450,.692282,.184810,.262096,.050384,.751906,.289823,.380020,.000096,.074141,.085282,.780055,.390292,.801313,.660417,.813732,.397676,.888286,.417552,.671395,.137845,.336059,.150446,.295903,.242835,.334516,.214015,.165958,.247903,.096397,.137256,.238306,.202282,.060350,.297260,.908140,.100690,.862700,.395572,.352602,.189829,.198789,.051468,.069042,.389278,.303800,.967203,.740510,.752443,.707880,.342729,.630650,.336468,.054910,.866343,.768050,.618682,.168704,.409394,.373633,.643167,.182405,.678834,.311350,.852582,.024364,.482472,
    3500     22.951434      0.531441  .529593,.874004,.605204,.661788,.096397,.137256,.455813,.855739,.631026,.649436,.780055,.390292,.862700,.395572,.692282,.184810,.671395,.137845,.751906,.289823,.545760,.580782,.834598,.082029,.334516,.214015,.074141,.085282,.238306,.202282,.660056,.565230,.592574,.397842,.740510,.752443,.352602,.189829,.168704,.409394,.303800,.967203,.069042,.389278,.707880,.342729,.401948,.543057,.054910,.866343,.801313,.660417,.745694,.874889,.311350,.852582,.500600,.582262,.888286,.417552,.630650,.336468,.165958,.247903,.011167,.675450,.373633,.643167,.060350,.297260,.295903,.242835,.510256,.873439,.635448,.979134,.908140,.100690,.198789,.051468,.768050,.618682,.336059,.150446,.262096,.050384,.946609,.655134,.813732,.397676,.182405,.678834,.024364,.482472,.789899,.840215,.380020,.000096,.612999,.675061,.529593,.874004,
    4000     23.967801      0.478297  .011167,.675450,.529593,.874004,.182405,.678834,.780055,.390292,.198789,.051468,.630650,.336468,.592574,.397842,.834598,.082029,.352602,.189829,.311350,.852582,.888286,.417552,.740510,.752443,.262096,.050384,.054910,.866343,.401948,.543057,.789899,.840215,.455813,.855739,.707880,.342729,.801313,.660417,.510256,.873439,.631026,.649436,.295903,.242835,.813732,.397676,.096397,.137256,.671395,.137845,.380020,.000096,.069042,.389278,.060350,.297260,.745694,.874889,.334516,.214015,.946609,.655134,.660056,.565230,.908140,.100690,.336059,.150446,.238306,.202282,.545760,.580782,.024364,.482472,.074141,.085282,.168704,.409394,.373633,.643167,.165958,.247903,.303800,.967203,.635448,.979134,.692282,.184810,.751906,.289823,.605204,.661788,.768050,.618682,.612999,.675061,.500600,.582262,.862700,.395572,.011167,.675450,
    4500     19.645064      0.430467  .635448,.979134,.801313,.660417,.605204,.661788,.888286,.417552,.631026,.649436,.745694,.874889,.529593,.874004,.630650,.336468,.024364,.482472,.751906,.289823,.707880,.342729,.946609,.655134,.182405,.678834,.455813,.855739,.740510,.752443,.510256,.873439,.373633,.643167,.500600,.582262,.401948,.543057,.813732,.397676,.592574,.397842,.660056,.565230,.780055,.390292,.069042,.389278,.380020,.000096,.334516,.214015,.011167,.675450,.168704,.409394,.060350,.297260,.862700,.395572,.908140,.100690,.692282,.184810,.352602,.189829,.303800,.967203,.295903,.242835,.545760,.580782,.311350,.852582,.198789,.051468,.336059,.150446,.834598,.082029,.671395,.137845,.768050,.618682,.054910,.866343,.612999,.675061,.165958,.247903,.074141,.085282,.262096,.050384,.096397,.137256,.238306,.202282,.789899,.840215,.635448,.979134,
    5000     19.172496      0.387420  .692282,.184810,.631026,.649436,.545760,.580782,.500600,.582262,.054910,.866343,.168704,.409394,.011167,.675450,.238306,.202282,.592574,.397842,.262096,.050384,.455813,.855739,.612999,.675061,.510256,.873439,.605204,.661788,.671395,.137845,.751906,.289823,.352602,.189829,.024364,.482472,.336059,.150446,.096397,.137256,.529593,.874004,.303800,.967203,.801313,.660417,.946609,.655134,.380020,.000096,.768050,.618682,.373633,.643167,.311350,.852582,.745694,.874889,.789899,.840215,.740510,.752443,.401948,.543057,.069042,.389278,.060350,.297260,.635448,.979134,.780055,.390292,.660056,.565230,.165958,.247903,.182405,.678834,.295903,.242835,.888286,.417552,.630650,.336468,.707880,.342729,.862700,.395572,.334516,.214015,.198789,.051468,.074141,.085282,.813732,.397676,.908140,.100690,.834598,.082029,.692282,.184810,
    5500     20.990401      0.348678  .592574,.397842,.165958,.247903,.740510,.752443,.751906,.289823,.707880,.342729,.168704,.409394,.692282,.184810,.813732,.397676,.500600,.582262,.529593,.874004,.311350,.852582,.635448,.979134,.671395,.137845,.334516,.214015,.455813,.855739,.054910,.866343,.011167,.675450,.401948,.543057,.198789,.051468,.908140,.100690,.352602,.189829,.096397,.137256,.545760,.580782,.069042,.389278,.074141,.085282,.238306,.202282,.303800,.967203,.182405,.678834,.373633,.643167,.060350,.297260,.660056,.565230,.605204,.661788,.862700,.395572,.888286,.417552,.630650,.336468,.834598,.082029,.612999,.675061,.946609,.655134,.789899,.840215,.768050,.618682,.801313,.660417,.380020,.000096,.336059,.150446,.745694,.874889,.631026,.649436,.510256,.873439,.295903,.242835,.262096,.050384,.780055,.390292,.024364,.482472,.592574,.397842,
    6000     16.198769      0.313811  .862700,.395572,.660056,.565230,.801313,.660417,.612999,.675061,.768050,.618682,.238306,.202282,.262096,.050384,.096397,.137256,.060350,.297260,.336059,.150446,.671395,.137845,.311350,.852582,.373633,.643167,.707880,.342729,.074141,.085282,.198789,.051468,.380020,.000096,.401948,.543057,.834598,.082029,.908140,.100690,.780055,.390292,.888286,.417552,.635448,.979134,.946609,.655134,.745694,.874889,.692282,.184810,.751906,.289823,.630650,.336468,.168704,.409394,.182405,.678834,.024364,.482472,.011167,.675450,.303800,.967203,.165958,.247903,.295903,.242835,.592574,.397842,.334516,.214015,.545760,.580782,.740510,.752443,.789899,.840215,.813732,.397676,.352602,.189829,.069042,.389278,.054910,.866343,.529593,.874004,.455813,.855739,.510256,.873439,.605204,.661788,.500600,.582262,.631026,.649436,.862700,.395572,
