Iteration #, Length, Temperature, Path (x1,y1,x2,y2,...,x1,y1), iseed: 971751
     500     21.899546      1.000000  .303800,.967203,.168704,.409394,.592574,.397842,.545760,.580782,.768050,.618682,.069042,.389278,.660056,.565230,.096397,.137256,.198789,.051468,.789899,.840215,.262096,.050384,.074141,.085282,.024364,.482472,.631026,.649436,.510256,.873439,.612999,.675061,.745694,.874889,.671395,.137845,.908140,.100690,.834598,.082029,.630650,.336468,.529593,.874004,.780055,.390292,.862700,.395572,.060350,.297260,.165958,.247903,.888286,.417552,.352602,.189829,.334516,.214015,.182405,.678834,.740510,.752443,.605204,.661788,.373633,.643167,.946609,.655134,.801313,.660417,.401948,.543057,.011167,.675450,.500600,.582262,.707880,.342729,.380020,.000096,.751906,.289823,.336059,.150446,.238306,.202282,.311350,.852582,.635448,.979134,.813732,.397676,.692282,.184810,.054910,.866343,.295903,.242835,.455813,.855739,.303800,.967203,
    1000     23.890224      0.900000  .303800,.967203,.295903,.242835,.455813,.855739,.612999,.675061,.510256,.873439,.069042,.389278,.888286,.417552,.011167,.675450,.862700,.395572,.182405,.678834,.745694,.874889,.336059,.150446,.238306,.202282,.592574,.397842,.801313,.660417,.605204,.661788,.198789,.051468,.908140,.100690,.692282,.184810,.768050,.618682,.660056,.565230,.074141,.085282,.946609,.655134,.740510,.752443,.401948,.543057,.780055,.390292,.789899,.840215,.635448,.979134,.631026,.649436,.311350,.852582,.707880,.342729,.671395,.137845,.334516,.214015,.060350,.297260,.096397,.137256,.168704,.409394,.380020,.000096,.024364,.482472,.165958,.247903,.054910,.866343,.262096,.050384,.500600,.582262,.813732,.397676,.834598,.082029,.352602,.189829,.630650,.336468,.529593,.874004,.751906,.289823,.373633,.643167,.545760,.580782,.303800,.967203,
    1500     24.109458      0.810000  .336059,.150446,.630650,.336468,.074141,.085282,.238306,.202282,.054910,.866343,.801313,.660417,.780055,.390292,.834598,.082029,.352602,.189829,.168704,.409394,.631026,.649436,.692282,.184810,.198789,.051468,.165958,.247903,.671395,.137845,.862700,.395572,.592574,.397842,.707880,.342729,.024364,.482472,.401948,.543057,.612999,.675061,.295903,.242835,.182405,.678834,.334516,.214015,.751906,.289823,.813732,.397676,.635448,.979134,.373633,.643167,.660056,.565230,.069042,.389278,.745694,.874889,.529593,.874004,.060350,.297260,.510256,.873439,.946609,.655134,.455813,.855739,.311350,.852582,.011167,.675450,.545760,.580782,.500600,.582262,.740510,.752443,.262096,.050384,.605204,.661788,.380020,.000096,.789899,.840215,.768050,.618682,.888286,.417552,.096397,.137256,.303800,.967203,.908140,.100690,.336059,.150446,
    2000     20.984871      0.729000  .707880,.342729,.768050,.618682,.096397,.137256,.165958,.247903,.069042,.389278,.801313,.660417,.745694,.874889,.671395,.137845,.262096,.050384,.336059,.150446,.813732,.397676,.834598,.082029,.660056,.565230,.545760,.580782,.612999,.675061,.946609,.655134,.592574,.397842,.862700,.395572,.605204,.661788,.373633,.643167,.401948,.543057,.500600,.582262,.455813,.855739,.635448,.979134,.630650,.336468,.054910,.866343,.789899,.840215,.011167,.675450,.311350,.852582,.074141,.085282,.380020,.000096,.352602,.189829,.692282,.184810,.751906,.289823,.024364,.482472,.198789,.051468,.888286,.417552,.295903,.242835,.060350,.297260,.334516,.214015,.908140,.100690,.168704,.409394,.510256,.873439,.740510,.752443,.780055,.390292,.529593,.874004,.631026,.649436,.303800,.967203,.182405,.678834,.238306,.202282,.707880,.342729,
    2500     20.883055      0.656100  .182405,.678834,.096397,.137256,.500600,.582262,.671395,.137845,.751906,.289823,.631026,.649436,.074141,.085282,.238306,.202282,.060350,.297260,.069042,.389278,.024364,.482472,.011167,.675450,.908140,.100690,.692282,.184810,.630650,.336468,.862700,.395572,.813732,.397676,.373633,.643167,.946609,.655134,.545760,.580782,.334516,.214015,.745694,.874889,.401948,.543057,.455813,.855739,.592574,.397842,.612999,.675061,.165958,.247903,.352602,.189829,.311350,.852582,.789899,.840215,.054910,.866343,.303800,.967203,.780055,.390292,.635448,.979134,.262096,.050384,.380020,.000096,.168704,.409394,.295903,.242835,.510256,.873439,.660056,.565230,.740510,.752443,.529593,.874004,.605204,.661788,.198789,.051468,.336059,.150446,.707880,.342729,.801313,.660417,.768050,.618682,.834598,.082029,.888286,.417552,.182405,.678834,
    3000     19.428152      0.590490  .751906,.289823,.908140,.100690,.946609,.655134,.303800,.967203,.660056,.565230,.780055,.390292,.612999,.675061,.768050,.618682,.635448,.979134,.789899,.840215,.373633,.643167,.336059,.150446,.801313,.660417,.862700,.395572,.352602,.189829,.334516,.214015,.745694,.874889,.631026,.649436,.888286,.417552,.054910,.866343,.311350,.852582,.740510,.752443,.605204,.661788,.500600,.582262,.401948,.543057,.510256,.873439,.455813,.855739,.630650,.336468,.198789,.051468,.165958,.247903,.295903,.242835,.060350,.297260,.707880,.342729,.529593,.874004,.168704,.409394,.096397,.137256,.069042,.389278,.238306,.202282,.545760,.580782,.262096,.050384,.011167,.675450,.182405,.678834,.834598,.082029,.671395,.137845,.813732,.397676,.692282,.184810,.592574,.397842,.024364,.482472,.074141,.085282,.380020,.000096,.751906,.289823,
    3500     23.082987      0.531441  .303800,.967203,.745694,.874889,.238306,.202282,.074141,.085282,.908140,.100690,.946609,.655134,.380020,.000096,.500600,.582262,.510256,.873439,.740510,.752443,.096397,.137256,.336059,.150446,.635448,.979134,.801313,.660417,.768050,.618682,.352602,.189829,.529593,.874004,.780055,.390292,.660056,.565230,.862700,.395572,.631026,.649436,.295903,.242835,.054910,.866343,.024364,.482472,.334516,.214015,.165958,.247903,.262096,.050384,.671395,.137845,.612999,.675061,.888286,.417552,.834598,.082029,.168704,.409394,.011167,.675450,.707880,.342729,.751906,.289823,.182405,.678834,.630650,.336468,.311350,.852582,.789899,.840215,.455813,.855739,.692282,.184810,.401948,.543057,.069042,.389278,.060350,.297260,.373633,.643167,.605204,.661788,.545760,.580782,.592574,.397842,.813732,.397676,.198789,.051468,.303800,.967203,
    4000     20.027034      0.478297  .789899,.840215,.455813,.855739,.373633,.643167,.238306,.202282,.834598,.082029,.692282,.184810,.740510,.752443,.751906,.289823,.813732,.397676,.707880,.342729,.768050,.618682,.801313,.660417,.401948,.543057,.660056,.565230,.510256,.873439,.198789,.051468,.631026,.649436,.500600,.582262,.529593,.874004,.295903,.242835,.612999,.675061,.671395,.137845,.780055,.390292,.745694,.874889,.946609,.655134,.352602,.189829,.592574,.397842,.862700,.395572,.605204,.661788,.311350,.852582,.011167,.675450,.545760,.580782,.168704,.409394,.024364,.482472,.074141,.085282,.096397,.137256,.336059,.150446,.630650,.336468,.165958,.247903,.060350,.297260,.380020,.000096,.262096,.050384,.334516,.214015,.635448,.979134,.069042,.389278,.303800,.967203,.182405,.678834,.054910,.866343,.888286,.417552,.908140,.100690,.789899,.840215,
    4500     20.779160      0.430467  .500600,.582262,.660056,.565230,.054910,.866343,.069042,.389278,.692282,.184810,.380020,.000096,.834598,.082029,.295903,.242835,.592574,.397842,.336059,.150446,.545760,.580782,.605204,.661788,.768050,.618682,.745694,.874889,.789899,.840215,.311350,.852582,.529593,.874004,.801313,.660417,.074141,.085282,.630650,.336468,.707880,.342729,.168704,.409394,.096397,.137256,.198789,.051468,.238306,.202282,.303800,.967203,.182405,.678834,.455813,.855739,.908140,.100690,.888286,.417552,.946609,.655134,.780055,.390292,.612999,.675061,.060350,.297260,.334516,.214015,.024364,.482472,.262096,.050384,.165958,.247903,.510256,.873439,.862700,.395572,.740510,.752443,.373633,.643167,.352602,.189829,.401948,.543057,.635448,.979134,.011167,.675450,.751906,.289823,.813732,.397676,.631026,.649436,.671395,.137845,.500600,.582262,
    5000     16.254683      0.387420  .745694,.874889,.631026,.649436,.635448,.979134,.510256,.873439,.168704,.409394,.024364,.482472,.069042,.389278,.311350,.852582,.946609,.655134,.612999,.675061,.605204,.661788,.455813,.855739,.707880,.342729,.262096,.050384,.380020,.000096,.671395,.137845,.295903,.242835,.500600,.582262,.908140,.100690,.813732,.397676,.862700,.395572,.545760,.580782,.660056,.565230,.740510,.752443,.789899,.840215,.303800,.967203,.373633,.643167,.054910,.866343,.074141,.085282,.096397,.137256,.336059,.150446,.592574,.397842,.529593,.874004,.182405,.678834,.401948,.543057,.011167,.675450,.352602,.189829,.165958,.247903,.334516,.214015,.060350,.297260,.238306,.202282,.692282,.184810,.751906,.289823,.888286,.417552,.780055,.390292,.834598,.082029,.630650,.336468,.198789,.051468,.768050,.618682,.801313,.660417,.745694,.874889,
